SMILES,pIC50
[Br]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H]) C3=C([H])C([H])=C([H])N=C3[H],5.133
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C3([H])[H],5.366
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C3([H])[H],5.254
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C3([H])[H],5.947
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C([H])([H])C3([H])[H],5.398
[H]C=1C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2C=1C([H])([H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])C([H])=C3[H],6.009
[H]/C1=C(\OC([H])([H])C([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C3([H])[H],5.15
[H]/C1=C(\OC([H])([H])C([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C3([H])[H],5.115
[H]/C1=C(/C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])C([H])=C3[H])C([H])([H])[H],5.406
[H]/C1=C(/C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])N=C3[H])C([H])([H])[H],5.337
[H]/C1=C(\[H])C(=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C3([H])[H])C([H])([H])[H],5.326
[H]/C1=C(\[H])C(=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C3([H])[H])C([H])([H])[H],4.899
[F]C=1C([H])=C([H])C([H])=C2C=1C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])C([H])=C3[H],5.742
[F]C=1C([H])=C([H])C([H])=C2C=1C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])N=C3[H],6.745
[Cl]C=1C([H])=C([H])C([H])=C2C=1C([H])([H])C([H])([H])C2=C([H])C3= C([H])N=C([H])C([H])=C3[H],6.886
[Cl]C=1C([H])=C([H])C([H])=C2C=1C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])N=C3[H],6.638
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=NC([H])=C2[H])C([H])([H])C3([H])[H],5.174
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=NC([H])=C2[H])C([H])([H])C([H])([H])C3([H])[H],6.187
[F]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=NC([H])=C3[H],6.097
[Cl]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C ([H])C3=C([H])C([H])=NC([H])=C3[H],5.701
[Br]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=NC([H])=C3[H],5.469
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=NC([H])=C2[H])C([H])([H])C3([H])[H],5.429
[H]/C1=C(\OC([H])([H])[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=NC([H])=C2[H])C([H])([H])C([H])([H])C3([H])[H],6.097
